2018-12-26 22:31:36.5069 Info Loading Cardigann definition /app/Jackett/Definitions/ettv.yml 
2018-12-26 22:31:36.5132 Info Loading Cardigann definition /app/Jackett/Definitions/extratorrent-ag.yml 
2018-12-26 22:31:36.6113 Info Loading Cardigann definition /app/Jackett/Definitions/eztv.yml 
2018-12-26 22:31:36.6143 Info Loading Cardigann definition /app/Jackett/Definitions/fanoin.yml 
2018-12-26 22:31:36.6211 Info Loading Cardigann definition /app/Jackett/Definitions/femdomcult.yml 
2018-12-26 22:31:36.6258 Info Loading Cardigann definition /app/Jackett/Definitions/freedomhd.yml 
2018-12-26 22:31:36.6323 Info Loading Cardigann definition /app/Jackett/Definitions/frozenlayer.yml 
2018-12-26 22:31:36.6376 Info Loading Cardigann definition /app/Jackett/Definitions/fullmixmusic.yml 
2018-12-26 22:31:36.6403 Info Loading Cardigann definition /app/Jackett/Definitions/funkytorrents.yml 
2018-12-26 22:31:36.6443 Info Loading Cardigann definition /app/Jackett/Definitions/gay-torrents.yml 
2018-12-26 22:31:36.6525 Info Loading Cardigann definition /app/Jackett/Definitions/gay-torrentsorg.yml 
2018-12-26 22:31:36.6596 Info Loading Cardigann definition /app/Jackett/Definitions/gaytorrentru.yml 
2018-12-26 22:31:36.6670 Info Loading Cardigann definition /app/Jackett/Definitions/gfxnews.yml 
2018-12-26 22:31:36.6937 Info Loading Cardigann definition /app/Jackett/Definitions/gfxpeers.yml 
2018-12-26 22:31:36.6969 Info Loading Cardigann definition /app/Jackett/Definitions/gigatorrents.yml 
2018-12-26 22:31:36.7039 Info Loading Cardigann definition /app/Jackett/Definitions/girotorrent.yml 
2018-12-26 22:31:36.7138 Info Loading Cardigann definition /app/Jackett/Definitions/gktorrent.yml 
2018-12-26 22:31:36.7174 Info Loading Cardigann definition /app/Jackett/Definitions/gods.yml 
2018-12-26 22:31:36.7259 Info Loading Cardigann definition /app/Jackett/Definitions/greekteam.yml 
2018-12-26 22:31:36.7346 Info Loading Cardigann definition /app/Jackett/Definitions/hachede.yml 
2018-12-26 22:31:36.7427 Info Loading Cardigann definition /app/Jackett/Definitions/hd4free.yml 
2018-12-26 22:31:36.7538 Info Loading Cardigann definition /app/Jackett/Definitions/hdbits.yml 
2018-12-26 22:31:36.7569 Info Loading Cardigann definition /app/Jackett/Definitions/hdbitscom.yml 
2018-12-26 22:31:36.7602 Info Loading Cardigann definition /app/Jackett/Definitions/hdcenter.yml 
2018-12-26 22:31:36.7648 Info Loading Cardigann definition /app/Jackett/Definitions/hdchina.yml 
2018-12-26 22:31:36.7727 Info Loading Cardigann definition /app/Jackett/Definitions/hdcity.yml 
2018-12-26 22:31:36.7866 Info Loading Cardigann definition /app/Jackett/Definitions/hdhome.yml 
2018-12-26 22:31:36.7942 Info Loading Cardigann definition /app/Jackett/Definitions/hdme.yml 
2018-12-26 22:31:36.7997 Info Loading Cardigann definition /app/Jackett/Definitions/hdsky.yml 
2018-12-26 22:31:36.8042 Info Loading Cardigann definition /app/Jackett/Definitions/hdspain.yml 
2018-12-26 22:31:36.8191 Info Loading Cardigann definition /app/Jackett/Definitions/hdtorrentsit.yml 
2018-12-26 22:31:36.8247 Info Loading Cardigann definition /app/Jackett/Definitions/hon3yhd.yml 
2018-12-26 22:31:36.8311 Info Loading Cardigann definition /app/Jackett/Definitions/hqsource.yml 
2018-12-26 22:31:36.8361 Info Loading Cardigann definition /app/Jackett/Definitions/hyperay.yml 
2018-12-26 22:31:36.8410 Info Loading Cardigann definition /app/Jackett/Definitions/icetorrent.yml 
2018-12-26 22:31:36.8486 Info Loading Cardigann definition /app/Jackett/Definitions/idopeclone.yml 
2018-12-26 22:31:36.8540 Info Loading Cardigann definition /app/Jackett/Definitions/ilcorsaroblu.yml 
2018-12-26 22:31:36.8611 Info Loading Cardigann definition /app/Jackett/Definitions/ilcorsaronero.yml 
2018-12-26 22:31:36.8676 Info Loading Cardigann definition /app/Jackett/Definitions/iloveclassics.yml 
2018-12-26 22:31:36.8723 Info Loading Cardigann definition /app/Jackett/Definitions/inperil.yml 
2018-12-26 22:31:36.8769 Info Loading Cardigann definition /app/Jackett/Definitions/insanetracker.yml 
2018-12-26 22:31:36.8836 Info Loading Cardigann definition /app/Jackett/Definitions/isohunt2.yml 
2018-12-26 22:31:36.8874 Info Loading Cardigann definition /app/Jackett/Definitions/jpopsuki.yml 
2018-12-26 22:31:36.8936 Info Loading Cardigann definition /app/Jackett/Definitions/kapaki.yml 
2018-12-26 22:31:36.9000 Info Loading Cardigann definition /app/Jackett/Definitions/karagarga.yml 
2018-12-26 22:31:36.9084 Info Loading Cardigann definition /app/Jackett/Definitions/katcrs.yml 
2018-12-26 22:31:36.9118 Info Loading Cardigann definition /app/Jackett/Definitions/kickasstorrent-kathow.yml 
2018-12-26 22:31:36.9148 Info Loading Cardigann definition /app/Jackett/Definitions/kickasstorrent.yml 
2018-12-26 22:31:36.9261 Info Loading Cardigann definition /app/Jackett/Definitions/kinozal.yml 
2018-12-26 22:31:36.9352 Info Loading Cardigann definition /app/Jackett/Definitions/limetorrents.yml 
2018-12-26 22:31:36.9383 Info Loading Cardigann definition /app/Jackett/Definitions/linkomanija.yml 
2018-12-26 22:31:36.9439 Info Loading Cardigann definition /app/Jackett/Definitions/losslessclub.yml 
2018-12-26 22:31:36.9468 Info Loading Cardigann definition /app/Jackett/Definitions/magico.yml 
2018-12-26 22:31:36.9594 Info Loading Cardigann definition /app/Jackett/Definitions/magnetdl.yml 
2018-12-26 22:31:36.9620 Info Loading Cardigann definition /app/Jackett/Definitions/majomparade.yml 
2018-12-26 22:31:36.9693 Info Loading Cardigann definition /app/Jackett/Definitions/manicomioshare.yml 
2018-12-26 22:31:36.9886 Info Loading Cardigann definition /app/Jackett/Definitions/megabliz.yml 
2018-12-26 22:31:36.9937 Info Loading Cardigann definition /app/Jackett/Definitions/metal-iplay-ro.yml 
2018-12-26 22:31:36.9973 Info Loading Cardigann definition /app/Jackett/Definitions/metaltracker.yml 
